後台管理系統 (ADMIN CMS),,,,,
NO,Category,Work/Screen,Brief Description,Note,
1,登入系統,,,,
,,管理員登入,"- 管理員帳號密碼登入
- 無權限分級",,
2,廣告管理,,,,
,,廣告輪播圖管理,"- 新增/修改/刪除廣告
- 設定標題、圖片 (1200*600)
- 設定投放時間
- 狀態切換 (啟用/停用)",,
,,小喇叭管理,"- 新增/修改/刪除公告
- 設定公告內容
- 狀態切換",,
3,商會管理,,,,
,,商會樹狀結構,"- 樹狀結構顯示商會層級
- 展開/折疊功能
- 根層/總會/分會",,
,,商會 CRUD,"- 新增商會 (選擇上級商會)
- 修改商會資訊
- 刪除商會 (僅子層可刪)
- 欄位：名稱、負責人、電話、郵箱、狀態、代碼",,
4,會員管理,,,,
,,會員審核列表,"- 待審核會員列表
- 搜尋功能
- 審核通過/拒絕",,
,,個人會員列表,"- 個人會員列表
- 搜尋 (名稱、手機、編碼)
- 查看詳情",,"""個人會員 公益商家 商務會員 看起來是三個類型 差異在哪裡呢?
公益商家的資訊在 客端 完全沒有帶入到資料, 
客端顯示的公益商家資料是 商務會員創建的 店鋪資料"""
,,公益商家列表,"- 公益商家列表
- 搜尋功能
- 查看詳情",,
,,商務會員列表,"- 商務會員列表
- 搜尋功能
- 查看詳情",,
,,會員詳情 - 基本信息,"- 顯示會員基本資料
- 調整會員類型按鈕
- 調整點數按鈕
- 修改出生日期",,
,,會員詳情 - 推薦詳情,"- 該會員推薦的下線列表
- 分頁顯示",,
,,會員詳情 - 點數明細,"- 點數變動紀錄
- 時間篩選",,
,,會員詳情 - 分享記錄,"- 發出/收到的分享紀錄
- 兩個分頁 Tab",,
,,會員詳情 - 邀約來賓,"- 邀請的訪客列表
- 新增邀約來賓彈窗",,"邀請來賓 該紀錄可以做什麼?
看起來只有後臺可以新增, 在前台 也看不到資訊 
只有會員專區會增加 邀請來賓數字"
,,會員詳情 - 店鋪交易,"- 店鋪消費紀錄
- 交易明細",,
,,會員詳情 - 店鋪信息,"- 會員店鋪資訊
- 店鋪詳情顯示",,
,,調整會員類型彈窗,"- 下拉選單選擇類型
- 個人會員/公益商家/商務會員",,
,,調整點數彈窗,"- 點數輸入框
- 積分輸入框
- 正數增加、負數減少",,
5,店鋪管理,,,,
,,店鋪列表,"- 店鋪列表顯示
- 欄位：名稱、類別、商會、電話、創建時間
- 搜尋功能",,客端建立店鋪
,,店鋪詳情彈窗,"- 店鋪圖片、名稱、類別
- 宣傳標語、電話、地址
- 店鋪介紹",,
6,活動管理,,,,
,,活動列表,"- 活動列表顯示
- 欄位：標題、類型、狀態、講師、創建時間
- 搜尋/篩選功能",,
,,新增/編輯活動,"- 標題 (必填)
- 封面圖片 (1:1)
- 講師、積分消耗、分數
- 地點、開始/結束時間
- 活動類型、選擇商會
- 活動介紹 ","編輯器
活動類型：商務講堂、公益講座等 8 種",
,,活動報名管理,"- 報名人員列表
- 報名狀態管理",,
7,捐贈公益,,,,
,,捐贈項目列表,"- 項目列表顯示
- 欄位：名稱、總募捐、獎勵積分、狀態
- 狀態切換",,
,,新增/編輯捐贈項目,"- 項目名稱、描述
- 目標金額
- 獎勵積分設定",,"獎勵積分是做什麼用的?
公益活動沒有結束?
累積積分不會沖銷?"
,,捐贈詳情彈窗,"- 捐贈總人數
- 捐贈總點數
- 捐贈明細列表",,
8,字典管理,,,,
,疑問：是否需要此功能？,字典列表,"- 字典類型列表
- 店鋪類別、產業類別等",,
,,字典數據管理,"- 字典 key-value 管理
- 新增/修改/刪除字典數據",,
9,抽獎管理,,,,
,,抽獎記錄列表,"- 抽獎記錄列表
- 欄位：姓名、手機、點數、時間、備註
- 時間篩選",,抽獎小瑪莉會有需要修改內容嗎?
10,認識商脈,,,,
,,內容編輯,"- 編輯器
- 編輯公司介紹內容
- 儲存發布",編輯器,
11,帳單核對,,,,
,,帳單列表,"- 會費繳納紀錄列表
- 欄位：會員資訊、充值金額、點數、狀態
- 手機號搜尋",,
,,帳單詳情,"- 帳單明細查看
- 狀態更新",,
,Setup Server,,,,
,Setup,環境建置,"- Setup server, database
- Developing, Staging, Production 環境
- Create docker file",,
,,,後台小計 (person-days),,